id_contrato,valor_del_contrato,nombre_entidad,valor_adicion,porcentaje_adicion
CO1.PCCNTR.6032131,11292538573,DEPARTAMENTO DE ANTIOQUIA//,14253686108.0,126.22216002059965
CO1.PCCNTR.6582823,1979875000,DEPARTAMENTO DE ANTIOQUIA//,1263750000.0,63.829787234042556
CO1.PCCNTR.6843917,1179935366,DISTRITO ESPECIAL DE CIENCIA TECNOLOGIA E INNOVACION DE MEDELLIN,739780800.0,62.696722321992006
CO1.PCCNTR.3778224,314630648,DEPARTAMENTO DE ANTIOQUIA//,163141816.0,51.85185138098816
